cui,term,semtype,class
C0317536,Chryseobacterium indologenes,bact,pathogen
C0679247,Terminal illness,dsyn,clinical
C0030672,Patient Acceptance of Health Care,hlca,clinical
C1513120,Memorial Sloan Kettering Cancer Center,hcro,clinical
C1515119,systemic therapy,topp,clinical
C0007431,Arterial catheterization,topp,clinical
C0917707,Cannulation,topp,clinical
C0036980,Shock  Cardiogenic,patf,clinical
C0870810,lifesaving,topp,clinical
C0746317,lymph node necrotic,dsyn,clinical
C0700374,Palate,bpoc,location
C0241181,Fragile skin,fndg,clinical
C0406557,Poikiloderma of Kindler,dsyn,clinical
C0041582,Ulcer,dsyn,clinical
C0226901,Hard Palate,bpoc,location
C0220615,Adult Acute Myeloblastic Leukemia,neop,biological
C1856381,Glucose 6 phosphate deficiency,fndg,clinical
C0740985,anemia acute,dsyn,clinical
C0017757,Glucosephosphate Dehydrogenase,"aapp,gngm,enzy",biological
C0949091,candida sepsis,dsyn,clinical
C0301872,Immune response,ortf,biological
C0032473,Polyenes,orch,biological
C0001734,Aflatoxins,"hops,orch",biological
C0596691,hepatotoxin,hops,biological
C0250336,CARE protocol,topp,clinical
C4329281,Advanced Malignant Solid Neoplasm,neop,biological
C0079543,Parenteral Nutrition  Home,topp,clinical
C0191115,Insertion of implantable venous access port,topp,clinical
C1273937,Not significant,fndg,clinical
C0340359,Prosthetic valve endocarditis,dsyn,clinical
C0699790,Colon Carcinoma,neop,biological
C0009378,colonoscopy,diap,clinical
C0004448,Awareness,menp,clinical
C1332225,Aggressive Non Hodgkin Lymphoma,neop,biological
C0814357,universal prevention,topp,clinical
C0024301,Lymphoma  Follicular,neop,biological
C3491856,R CHOP protocol,topp,clinical
C0085593,Chills,sosy,clinical
C1299622,Empirical antibiotic therapy,topp,clinical
C0020119,Human Development,phsf,biological
C0014406,Environment,spco,location
C2244392,electron transport chain,moft,biological
C0000934,Acclimatization,orgf,biological
C0072442,prothymosin alpha,"aapp,gngm,bacs",biological
C0079613,Adoptive Immunotherapy,topp,clinical
C1512772,Negative Regulation of Apoptosis,celf,biological
C0027950,neutrophil,cell,biological
C0205145,Site,spco,location
C0005525,Biological Response Modifiers,"imft,phsu",biological
C0431080,Diagnostic assessment,diap,clinical
C0086143,Diagnostic tests,diap,clinical
C2945640,compromise,fndg,clinical
C0346976,Secondary malignant neoplasm of pancreas,neop,biological
C2703200,CPI 613,"orch,phsu",biological
C0026237,Mitochondria,celc,biological
C0431085,Tumor cells  uncertain whether benign or malignant,cell,biological
C0016360,Fluorouracil,"nnon,phsu",biological
C0023413,Leucovorin,"orch,phsu,vita",biological
C0069717,oxaliplatin,"orch,phsu",biological
C0123931,irinotecan,"orch,phsu",biological
C0026918,Mycobacterium Infections,dsyn,clinical
C0558916,Nasal and nasal type NK T cell lymphoma,neop,biological
C0038689,Sulfamethoxazole,"antb,orch",biological
C0242114,Suspicion,menp,clinical
C2706046,Eye lid,bpoc,location
C1096155,Macrophage Activation Syndrome,dsyn,clinical
C0229258,Lower eyelid,bpoc,location
C0015250,Complete excision,topp,clinical
C0019214,Hepatosplenomegaly,sosy,clinical
C1844662,Unexplained fevers,fndg,clinical
C0021843,Intestinal Obstruction,dsyn,clinical
C0259945,hospital care,hlca,clinical
C0035497,Rhodopseudomonas,bact,pathogen
C0149615,Allogeneic bone marrow transplantation,topp,clinical
C0333516,Tumor necrosis,neop,biological
C0494165,Secondary malignant neoplasm of liver,neop,biological
C0007894,Cestode Infections,dsyn,clinical
C0152069,Echinococcus multilocularis infection,dsyn,clinical
C1262477,Weight decreased,fndg,clinical
C0042449,Veins,bpoc,location
C0746405,mass cystic,dsyn,clinical
C0599918,nephrotoxicity,inpo,biological
C3656596,avibactam   Ceftazidime,phsu,biological
C4039163,Carbapenem Resistant Enterobacteriaceae,bact,pathogen
C0007430,Catheterization,topp,clinical
C0239998,Recurrent infections,fndg,clinical
C4054953,First Relapse,fndg,clinical
C0596473,Early Diagnosis,diap,clinical
C1947956,Fusarium solani,fngs,pathogen
C4111013,Fusarium keratoplasticum,fngs,pathogen
C4111891,Fusarium petroliphilum,fngs,pathogen
C0006836,Candida  fungus ,fngs,pathogen
C0016674,France,geoa,location
C0030561,Paris  France,geoa,location
C0444263,Plasma specimen,bdsu,biological
C1261473,Sarcoma,neop,biological
C0872148,DNA purification,lbpr,clinical
C0559692,Intravenous fluid replacement,topp,clinical
C0036391,Schwartz Jampel Syndrome,dsyn,clinical
C0003238,antibiotic combinations,antb,biological
C0040034,Thrombocytopenia,dsyn,clinical
C0023038,Laparotomy,topp,clinical
C0277554,primary disorders,dsyn,clinical
C0009290,Colicin Ib,"aapp,gngm,bacs",biological
C0128443,microcin B17,"aapp,gngm,antb",antibiotic
C0220825,Evaluation,hlca,clinical
C0009429,Combined Modality Therapy,topp,clinical
C3853839,blinatumomab,"aapp,gngm,imft,phsu",biological
C0206491,Bispecific Monoclonal Antibodies,"aapp,gngm,imft,phsu",biological
C2242529,Allogeneic Stem Cell Transplantation,topp,clinical
C0152021,Congenital heart disease,cgab,clinical
C0007202,Cardiopulmonary Bypass,topp,clinical
C0393435,Staphylococcus aureus meningitis,dsyn,clinical
C3501358,Ibrutinib,"orch,phsu",biological
C0309049,favor,"orch,phsu,vita",biological
C0318157,Streptococcus Viridans Group,bact,pathogen
C0067385,N N dimethylarginine,"aapp,gngm,phsu",biological
C0274435,Transfusion Reaction,patf,clinical
C1319069,Point of Care Testing,hlca,clinical
C1112211,liver infection,dsyn,clinical
C0023452,Childhood Acute Lymphoblastic Leukemia,neop,biological
C2097112,Bone Marrow Smear,lbpr,clinical
C0279516,Anti Bacterial Agents,antb,biological
C0038351,Stomach,bpoc,location
C0741884,terminal cancer,neop,biological
C2791595,Pantoea calida,bact,pathogen
C2930041,Ampicillin   Sulbactam,phsu,biological
C0035410,Rhabdomyolysis,patf,clinical
C0231218,Malaise,sosy,clinical
C1711309,Colorectal Region,blor,location
C0034896,Rectum,bpoc,location
C0008679,Chronic disease,dsyn,clinical
C1268919,Fungal product,phsu,biological
C0476474,persistent fever,patf,clinical
C0537894,Caspofungin,"aapp,gngm,phsu",biological
C0012739,Disseminated Intravascular Coagulation,dsyn,clinical
C0021641,Insulin,"aapp,gngm,horm,phsu",biological
C0678812,systemic administration,topp,clinical
C0935727,Injection Port,medd,clinical
C1883559,Wild Type,"gngm,aapp",biological
C2917454,beta Lactamase Inhibitor  EPC ,phsu,biological
C3539957,opium alkaloids and derivative combination cough suppressants,phsu,biological
C0231800,Expiration  function,orgf,biological
C0317881,Neisseria subflava,bact,pathogen
C0027571,Neisseria,bact,pathogen
C0206698,Cholangiocarcinoma,neop,biological
C0018923,Hemangiosarcoma,neop,biological
C0349609,Pneumocephalus  Tension,dsyn,clinical
C0021874,Intracranial abscess,dsyn,clinical
C0854894,Recurrent Angiosarcoma,neop,biological
C0228193,Right frontal lobe structure,bpoc,location
C4489276,Readmission,hlca,clinical
C1836407,Early death,fndg,clinical
C1845611,Low absolute lymphocyte count,fndg,clinical
C0684256,Bacterial sepsis,dsyn,clinical
C0004587,Bacillus  bacterium ,bact,pathogen
C0023222,Pain in lower limb,sosy,clinical
C0023448,Lymphoid leukemia,neop,biological
C0023470,Myeloid Leukemia,neop,biological
C0022742,Knee,bpoc,location
C0024110,Lung Abscess,dsyn,clinical
C0024449,Mycetoma,dsyn,clinical
C0038170,Genus staphylococcus,bact,pathogen
C0343640,African Burkitt s lymphoma,neop,biological
C1267822,CD4  CD25  Regulatory T Cells,cell,biological
C3843504,1   3,fndg,clinical
C0036421,Systemic Scleroderma,dsyn,clinical
C0007820,Cerebrovascular Disorders,dsyn,clinical
C0010054,Coronary Arteriosclerosis,dsyn,clinical
C0085590,catheter device,medd,clinical
C4053862,Virologic Response,fndg,clinical
C0343578,Atypical measles,dsyn,clinical
C0264366,Necrotizing bronchiolitis,dsyn,clinical
C2985490,Transperineal Biopsy,diap,clinical
C0194804,Biopsy of prostate,diap,clinical
C0033581,prostatitis,dsyn,clinical
C0341742,Acute retention of urine,sosy,clinical
C0007203,Cardiopulmonary Resuscitation,topp,clinical
C0034065,Pulmonary Embolism,dsyn,clinical
C0032269,Pneumococcal Infections,dsyn,clinical
C0270627,Myelitis  Acute Transverse,dsyn,clinical
C0015385,Limb structure,bpoc,location
C0522224,Paralysed,fndg,clinical
C0582263,Structural protein,"aapp,gngm,bacs",biological
C0023485,Precursor B Cell Lymphoblastic Leukemia Lymphoma,neop,biological
C0442876,Occult carcinoma,neop,biological
C0315096,Clostridium septicum,bact,pathogen
C0585629,Left sided cerebral infarction,patf,clinical
C0227375,Ascending colon,bpoc,location
C0005773,Blood Cells,cell,biological
C1156205,histone methylation,moft,biological
C0014859,Esophageal Neoplasms,neop,biological
C0278801,Endometrial neoplasm malignant metastatic,neop,biological
C0862489,Metastatic Endometrial Adenocarcinoma,neop,biological
C0023462,Acute Megakaryocytic Leukemias,neop,biological
C0317944,Parvimonas micra,bact,pathogen
C0018941,Hematologic Tests,lbpr,clinical
C0017195,Endoscopy of stomach,diap,clinical
C2919733,Surviving free of recurrence of neoplastic disease,fndg,clinical
C1120386,micafungin,"aapp,gngm,antb",antibiotic
C4075692,Candida fermentati,fngs,pathogen
C0023492,Leukemia  T Cell,neop,biological
C4086445,High Occupancy Target Region,nusq,biological
C1608324,Vascular Access Ports,medd,clinical
C0442804,Very high,fndg,clinical
C0441289,Plastic stent,medd,clinical
C0038257,Stent  device,medd,clinical
C3898473,Malignant Biliary Obstruction,fndg,clinical
C0424093,Initiative,menp,clinical
C1555319,discharge diagnosis,fndg,clinical
C0849759,charmed,sosy,clinical
C0024794,Herpesvirus 2  Gallid,virs,pathogen
C1421381,USH2A gene,"gngm,aapp",biological
C0085164,Leukemia  Feline,neop,biological
C0242574,Nested Polymerase Chain Reaction,mbrt,biological
C0079337,Feline Immunodeficiency Virus,virs,pathogen
C3539125,other medicated shampoos in ATC,phsu,biological
C0001339,Acute pancreatitis,dsyn,clinical
C1101610,MicroRNAs,"bacs,nnon",biological
C0024429,Migration Inhibitory Factor,"aapp,gngm,imft",biological
C4527425,Haploidentical Hematopoietic Cell Transplantation,topp,clinical
C1301953,Antibiotic coated catheter,medd,clinical
C1700929,Endoscopic Submucosal Dissection,topp,clinical
C1333064,Classical Hodgkin s Lymphoma,neop,biological
C0021622,Institutes,orgt,clinical
C4319756,Myeloablative Conditioning,topp,clinical
C2827788,Epsilometry,lbpr,clinical
C0085495,Enterococcus faecium,bact,pathogen
C0066256,methyl isocyanate,"hops,orch",biological
C0850774,infection risk factor,fndg,clinical
C0587727,Pediatric Accident and Emergency department,hcro,clinical
C0013303,Duodenum,bpoc,location
C0232493,Epigastric pain,sosy,clinical
C0030290,Pancreatic Fistula,dsyn,clinical
C1318968,Pre op diagnosis,fndg,clinical
C0334048,Severe dysplasia,comd,biological
C0334044,Dysplasia,patf,clinical
C0024115,Lung diseases,dsyn,clinical
C0221013,Mastocytosis  Systemic,neop,biological
C0243083,associated disease,patf,clinical
C0596790,interstitial,blor,location
C0026985,Myelodysplasia,cgab,clinical
C0026987,Myelofibrosis,neop,biological
C1112486,Aggressive Systemic Mastocytosis,neop,biological
C0024899,Mastocytosis,dsyn,clinical
C0030700,Patient Readmission,hlca,clinical
C0460004,Head and neck structure,blor,location
C2827774,Current Therapy,topp,clinical
C0677932,Progressive Neoplastic Disease,neop,biological
C0194086,Partial nephrectomy,topp,clinical
C1446301,Tumor destruction,topp,clinical
C0740457,Malignant neoplasm of kidney,neop,biological
C0699778,intravenous drug use,inbe,clinical
C1513019,Mature B Lymphocyte,cell,biological
C2047215,Herpesvirus 5 infection,dsyn,clinical
C0028778,Obstruction,patf,clinical
C0341504,Purulent peritonitis,dsyn,clinical
C0024032,Low Birth Weights,fndg,clinical
C0158698,Congenital malformation of the urinary system,cgab,clinical
C0021107,Implantation procedure,topp,clinical
C0002874,Aplastic Anemia,dsyn,clinical
C0162429,Malnutrition,dsyn,clinical
C0030956,Peptides,"aapp,gngm",biological
C0209211,lanreotide,"aapp,gngm,phsu",biological
C2000261,linaclotide,"aapp,gngm,phsu",biological
C0742559,colon cancer resection,topp,clinical
C0192817,Operation on colon,topp,clinical
C1997614,Thromboembolism of vein,patf,clinical
C0741847,Bypass,topp,clinical
C0318137,Rothia mucilaginosa,bact,pathogen
C0278695,recurrent neuroblastoma,neop,biological
C0022423,Judgment,menp,clinical
C0017471,Germ Cells,cell,biological
C0153690,Secondary malignant neoplasm of bone,neop,biological
C0031117,Peripheral Neuropathy,dsyn,clinical
C0848454,Uterine carcinoma,neop,biological
C3693626,Obstructive pyelonephritis,dsyn,clinical
C0041951,Ureter,bpoc,location
C0683321,poor health,fndg,clinical
C0017337,Genes,"gngm,aapp",biological
C0814435,early identification,topp,clinical
C0001261,Actinomycosis,dsyn,clinical
C0685201,Hemangioma of spleen,neop,biological
C0015357,Extracorporeal Membrane Oxygenation,topp,clinical
C0035953,Running  physical activity ,dora,clinical
C1275743,Co morbid conditions,fndg,clinical
C0842176,Total Proctocolectomy,topp,clinical
C0021167,Incontinence,dsyn,clinical
C1444089,Resistant organism,orgm,target
C0876991,Histiocytosis haematophagic,dsyn,clinical
C0022122,Bone structure of ischium,bpoc,location
C0524852,Orthopedic Procedures,topp,clinical
C0019557,Hip Fractures,inpo,biological
C0315074,Clostridium sordellii,bact,pathogen
C0445954,Anaerobic Gram positive bacillus,bact,pathogen
C0600327,Toxic Shock Syndrome,dsyn,clinical
C1550262,Gluteal,bpoc,location
C0071568,pegaspargase,"aapp,gngm,enzy,phsu",biological
C3840892,Day 4,fndg,clinical
C1517874,Life Threatening Adverse Event,fndg,clinical
C1149750,asparaginase activity,moft,biological
C0751606,Adult Acute Lymphocytic Leukemia,neop,biological
C0581363,Perianal infection,dsyn,clinical
C0227411,Anal canal,bsoj,location
C0023508,White Blood Cell Count procedure,lbpr,clinical
C0259961,parenteral therapy,topp,clinical
C0003392,Antineoplastic Agents,"orch,phsu",biological
C4287543,Intestinal dysbiosis,sosy,clinical
C0019999,Hospitals  Cancer,"hcro,mnob",clinical
C0683939,research center,"mnob,orgt",clinical
C1868981,Invasive mechanical ventilation NOS,topp,clinical
C0037274,Dermatologic disorders,dsyn,clinical
C0039343,Tattooing,hlca,clinical
C0227386,Transverse colon,bpoc,location
C0559680,Intravenous antibiotic therapy,topp,clinical
C3542421,High Affinity Immunoglobulin Gamma Fc Receptor I  human,"aapp,gngm,imft",biological
C0806957,Microbial susceptibility tests,lbpr,clinical
C3839154,Wintrobe technique,lbpr,clinical
C0373607,Ferritin measurement,lbpr,clinical
C0225336,Endothelial Cells,cell,biological
C0242488,Acute Lung Injury,inpo,biological
C0007600,Cultured Cell Line,cell,biological
C0006784,Calpain,"aapp,gngm,enzy",biological
C1413112,CAPN2 gene,"gngm,aapp",biological
C0031715,Phosphorylation,moft,biological
C0282507,Heat Stress Disorders,inpo,biological
C1413109,CAPN1 gene,"gngm,aapp",biological
C1120843,mitogen activated protein kinase p38,"aapp,gngm,enzy",biological
C0317920,Cellulosimicrobium cellulans,bact,pathogen
C1829939, Non patient ,clna,clinical
C0004663,Bacteroides fragilis,bact,pathogen
C0318256,Vibrio vulnificus,bact,pathogen
C0017086,Gangrene,dsyn,clinical
C0392707,Atopy,patf,clinical
C0346957,Disseminated Malignant Neoplasm,neop,biological
C4479461,Increased serum IgE levels,fndg,clinical
C0413234,Acute allergic reaction,dsyn,clinical
C1513882,National Cancer Institute,hcro,clinical
C0597356,rapid diagnosis,diap,clinical
C0555278,Cerebral metastasis,neop,biological
C0006104,Brain,bpoc,location
C0442797,Decreasing,fndg,clinical
C0237607,Practice Experience,menp,clinical
C0010823,Cytomegalovirus Infections,dsyn,clinical
C0003451,Antiviral Agents,phsu,biological
C0085732,Ability,orga,biological
C0683325,clinical aspects,clna,clinical
C1319315,Adenocarcinoma of large intestine,neop,biological
C0196112,Cranioplasty,topp,clinical
C0175649,Prosthesis,medd,clinical
C1266913,Bone flap,tisu,biological
C0020255,Hydrocephalus,dsyn,clinical
C1562051,Skin flap,tisu,biological
C0035110,Repeat Surgery,topp,clinical
C0224362,Structure of latissimus dorsi muscle,bpoc,location
C1123023,Skin,bdsy,target
C0010468,Curettage procedure,topp,clinical
C0730400,Solid organ transplant,topp,clinical
C1709854,Recipient,"popg,humn",clinical
C1709345,Oropharyngeal lymphoid tissue,tisu,biological
C1321301,Peripheral blood mononuclear cell  cell ,cell,biological
C0042133,Uterine Fibroids,neop,biological
C0152150,Pregnancy  Twin,fndg,clinical
C0558380,Emergency cesarean section,topp,clinical
C0276653,Invasive Pulmonary Aspergillosis,dsyn,clinical
C4329453,Beta D Glucan Assay,lbpr,clinical
C1134651,beta Glucans,"orch,phsu",biological
C0000872,Academic Medical Centers,"hcro,mnob",clinical
C1690590,Surgical intensive care unit,"hcro,mnob",clinical
C0279000,Liver and Intrahepatic Biliary Tract Carcinoma,neop,biological
C0262926,Medical History,fndg,clinical
C0043481,Zinc,"bacs,elii,phsu",biological
C2936642,Black Sea,geoa,location
C0009968,Copper,"bacs,elii,phsu",biological
C0036581,Selenium,"bacs,elii,phsu",biological
C0302583,Iron,"bacs,elii,phsu",biological
C0020538,Hypertensive disease,dsyn,clinical
C0007097,Carcinoma,neop,biological
C0012984,Canis familiaris,mamm,target
C1561643,Chronic Kidney Diseases,dsyn,clinical
C0042036,Urine,bdsu,biological
C0008810,Circadian Rhythms,orgf,biological
C4048282,Airway resistance,ortf,biological
C0231315,Normal circadian rhythm,fndg,clinical
C1185944,Splenius,bpoc,location
C0030660,Pathologic Processes,patf,clinical
C3694279,Middle East Respiratory Syndrome,dsyn,clinical
C0152319,Corpus callosum splenium,bpoc,location
C0235031,Neurologic Symptoms,sosy,clinical
C1533734,Administration procedure,topp,clinical
C0358591,Proton Pump Inhibitors,phsu,biological
C0041199,Troponin,"aapp,gngm,bacs",biological
C0008715,Chronically Ill,dsyn,clinical
C0340194,Respiratory failure without hypercapnia,dsyn,clinical
C0227230,Body of stomach,bpoc,location
C0004475,Azacitidine,"nnon,phsu",biological
C4479222,Increased apoptosis,fndg,clinical
C0003315,Antigen Presenting Cells,cell,biological
C1518060,Lymphocyte Apoptotic Process,celf,biological
C0039259,Tail,bpoc,location
C0238334,Abscess of pancreas,dsyn,clinical
C1880510,Endoscopic Ultrasound Guided Fine Needle Aspiration,diap,clinical
C0699791,Stomach Carcinoma,neop,biological
C3872696,Human herpesvirus 8 DNA,"bacs,nnon",biological
C0036220,Kaposi Sarcoma,neop,biological
C0151882,Purpuric rash,dsyn,clinical
C3714552,Weakness,sosy,clinical
C1142471,central line complication,patf,clinical
C0030842,Penicillins,"antb,orch",biological
C0019997,Hospitals  Army,"hcro,mnob",clinical
C0912024,Apigenin,"orch,phsu",biological
C2348265,Dietary Flavonoid,orch,biological
C0018787,Heart,bpoc,location
C0580327,Antibody studies  procedure ,lbpr,clinical
C1961099,Precursor T Cell Lymphoblastic Leukemia Lymphoma,neop,biological
C1167395,Host  organism ,orgm,target
C0008947,Clindamycin,"antb,orch",biological
C0004613,Bacteria  Anaerobic,bact,pathogen
C0318062,Gordonia sputi,bact,pathogen
C0856825,Acute GVH disease,dsyn,clinical
C1444090,Resistant bacteria,bact,pathogen
C2742797,vedolizumab,"aapp,gngm,imft",biological
C0240602,opioid use,mobd,clinical
C0019829,Hodgkin Disease,neop,biological
C0369169,Epstein Barr virus DNA,"bacs,nnon",biological
C2826025,Mixed phenotype acute leukemia,neop,biological
C0242596,Neoplasm  Residual,neop,biological
C0011135,Defecation,orgf,biological
C0810152,colorectal resection,topp,clinical
C0178874,Tumor Progression,neop,biological
C0004565,Melanoma  B16,"emod,neop",biological
C1332817,CXCL12 gene,"gngm,aapp",biological
C0279844,busulfan melphalan,topp,clinical
C0280812,carboplatin etoposide melphalan,topp,clinical
C0600688,Toxic effect,inpo,biological
C0376450,Transplantation Conditioning,topp,clinical
C0030967,Peptostreptococcus,bact,pathogen
C0242946,Prevotella,bact,pathogen
C0018916,Hemangioma,neop,biological
C0459914,Conservative Treatment,topp,clinical
C1698484,Mucosal Infection,dsyn,clinical
C0013080,Down Syndrome,dsyn,clinical
C1265175,Vancomycin Resistant Enterococci,bact,pathogen
C0003615,Appendicitis,dsyn,clinical
C0031099,Periodontitis,dsyn,clinical
C1266129,Atypical Lipoma,neop,biological
C0016059,Fibrosis,patf,clinical
C0040616,Anti Anxiety Agents,phsu,biological
C0369332,Hepatitis B virus DNA,"bacs,nnon",biological
C0150141,Bathing,topp,clinical
C0025267,Multiple Endocrine Neoplasia Type 1,neop,biological
C0176940,Distal subtotal pancreatectomy,topp,clinical
C0005847,Blood Vessel,bpoc,location
C2986656,Non Functioning Endocrine Neoplasm,neop,biological
C0562342,Empowered,menp,clinical
C0201227,Surveillance culture,lbpr,clinical
C0032539,Polymyxins,"aapp,gngm,antb",antibiotic
C1096691,BK Virus Infection,dsyn,clinical
C0010583,Cyclophosphamide,"orch,phsu",biological
C0018957,Hematopoietic System,bdsy,target
C0867389,Chronic graft versus host disease,dsyn,clinical
C0927195,Stroma,bpoc,location
C0010701,Phyllodes Tumor,neop,biological
C3162255,post surgery radiation therapy,topp,clinical
C0012624,Discitis,dsyn,clinical
C4050400,Perinatal sepsis,dsyn,clinical
C0349006,staphylococcus aureus septicemia,dsyn,clinical
C0015392,Eye,bpoc,location
C0229089,Right eye,bpoc,location
C3272282,American College of Cardiology American Heart Association Lesion Complexity Score B,fndg,clinical
C0033607,Protease Inhibitors,phsu,biological
C0038317,Steroids,orch,biological
C0916194,dectin 1,"aapp,gngm",biological
C1372273,Increased Cytokine Production  PE ,moft,biological
C0079784,Macrophage Colony Stimulating Factor,"aapp,gngm,imft",biological
C0010200,Coughing,sosy,clinical
C0033774,Pruritus,fndg,clinical
C0231528,Myalgia,sosy,clinical
C0319629,Pichia kudriavzevii,fngs,pathogen
C0221971,Hair follicle structure,bpoc,location
C0031327,Drug Kinetics,phsf,biological
C0936148,posaconazole,"orch,phsu",biological
C0339961,Fungal pneumonia,dsyn,clinical
C0086418,Homo sapiens,"grup,humn",clinical
C1024084,Pseudozyma,fngs,pathogen
C0871685,Clinician,"prog,humn",clinical
C0003811,Cardiac Arrhythmia,fndg,clinical
C0520679,Sleep Apnea  Obstructive,dsyn,clinical
C0342579,Electrolyte imbalance,patf,clinical
C3251812,Bleeding risk,fndg,clinical
C0206178,Cytomegalovirus Retinitis,dsyn,clinical
C0229096,Vitreous humor,bdsu,biological
C0369083,Cytomegalovirus DNA,"bacs,nnon",biological
C0035333,Retinitis,dsyn,clinical
C0333546,Massive infarct,patf,clinical
C0442816,Normal limits,fndg,clinical
C1420638,TCF21 gene,"gngm,aapp",biological
C0026718,Mucormycosis,dsyn,clinical
C0599155,Missense Mutation,genf,biological
C1414863,FUT2 gene,"gngm,aapp",biological
C0017428,Genome,"gngm,aapp",biological
C2718059,Precision Medicine,topp,clinical
C0192259,Operation on esophagus  procedure ,topp,clinical
C0192398,Operation on stomach,topp,clinical
C0920420,cancer recurrence,neop,biological
C0007642,Cellulitis,patf,clinical
C0014876,Esophagus,bpoc,location
C2744539,THBD protein  human,"aapp,gngm,bacs",biological
C1453642,telavancin,"aapp,gngm,antb",antibiotic
C2936643,Standard of Care,topp,clinical
C0200631,Complete blood count without differential,lbpr,clinical
C0016263,Flow Cytometry,lbpr,clinical
C0341950,Severe pre eclampsia,patf,clinical
C0281163,educational intervention,topp,clinical
C0597979,beta Lactamase,"aapp,gngm,enzy",biological
C0001139,Acinetobacter Infections,dsyn,clinical
C1289970,Intravesical BCG,"imft,phsu",biological
C0030219,Palate  Soft,bpoc,location
C0014013,Empyema  Pleural,dsyn,clinical
C0565990,Medical center,"hcro,mnob",clinical
C2986592,Definitive Treatment,topp,clinical
C0030617,Parvoviridae,virs,pathogen
C0677908,Maintenance therapy,topp,clinical
C0001490,Adenoviruses  Human,virs,pathogen
C0286079,Cidofovir,"nnon,phsu",biological
C0012683,Disinfection,topp,clinical
C0920685,blood neoplasm,neop,biological
C0007847,Malignant tumor of cervix,neop,biological
C0276758,Fusariosis,dsyn,clinical
C2316368,Tissue section,tisu,biological
C0314845,Achromobacter xylosoxidans,bact,pathogen
C0319895,Rhodotorula glutinis,fngs,pathogen
C1449619,Culture Techniques,lbpr,clinical
C3826786,Adenovirus diseases,dsyn,clinical
C0027697,Nephritis,dsyn,clinical
C0001486,Adenovirus Infections,dsyn,clinical
C0004057,Aspirin,"orch,phsu",biological
C0677946,Stable Disease,fndg,clinical
C0043566, 1 2 diamino 4 nitrobenzene dichloroplatinum II ,"orch,phsu",biological
C0457454,Discontinuation  procedure ,hlca,clinical
C1825591,IKZF5 gene,"gngm,aapp",biological
C4075672,Methicillin resistant Staphylococcus epidermidis,bact,pathogen
C0275521,Clinical infection,dsyn,clinical
C0005961,Bone Marrow Transplantation,topp,clinical
C0580493,Serum albumin low result,fndg,clinical
C0018284,Growth Factor,"aapp,gngm,bacs",biological
C0017196,Gastrostomy,topp,clinical
C0029463,Osteosarcoma,neop,biological
C1036910,Moesziomyces aphidis,fngs,pathogen
C0319878,Candida parapsilosis,fngs,pathogen
C4521099,amphotericin B lipid complex,"antb,orch",biological
C0260217,Rhodotorula pilimanae  fungus ,fngs,pathogen
C0444753,prosthetic replacement,hlca,clinical
C0014122,Subacute Bacterial Endocarditis,dsyn,clinical
C0851286,Staff,"prog,humn",clinical
C0023493,Adult T Cell Lymphoma Leukemia,neop,biological
C0030390,Parainfluenza Virus 1  Human,virs,pathogen
C2987603,mogamulizumab,"imft,phsu",biological
C0202823,Chest CT,diap,clinical
C0444184,Postmortem tissue sample,tisu,biological
C0597404,Respiratory viruses,virs,pathogen
C0038325,Stevens Johnson Syndrome,dsyn,clinical
C1301624,Medical contraindication,fndg,clinical
C2605855,simeprevir,"orch,phsu",biological
C2976303,sofosbuvir,"nnon,phsu",biological
C3532919,Hepatitis C virus genotype 1,virs,pathogen
C0231187,Decompensation,fndg,clinical
C1263666,Advanced cirrhosis,dsyn,clinical
C0521362,gastrointestinal,spco,location
C0946292,polarization,clna,clinical
C0013931,Embolization  Therapeutic,topp,clinical
C0036435,Sclerotherapy,topp,clinical
C0227598,Urothelium,tisu,biological
C1265234,Nontuberculous Mycobacteria,bact,pathogen
C0040586,Tracheobronchitis,dsyn,clinical
C1257867,Microfluidics,ocdi,clinical
C0033808,Pseudomonas,bact,pathogen
C0317524,Flavimonas oryzihabitans,bact,pathogen
C0004504,Azoles,orch,biological
C0541653,Chart evaluation by healthcare professional,hlca,clinical
C0012854,DNA,"bacs,nnon",biological
C0019652,Histones,"aapp,gngm,bacs",biological
C1332977,Childhood Leukemia,neop,biological
C0026591,Mother  person ,"famg,humn",clinical
C1234164,Anelloviridae,virs,pathogen
C0032207,Platinum,elii,biological
C0215136,taxane,"orch,phsu",biological
C0262584,Carcinoma  Small Cell,neop,biological
C1142169,Acute myeloid Leukemia relapse,neop,biological
C0085405,Salvage Therapy,topp,clinical
C1955781,Septic pulmonary embolism,patf,clinical
C0006282,Contrast bronchogram,diap,clinical
C0041667,Underweight,fndg,clinical
C2676739,Chromosome 2q32 Q33 Deletion Syndrome,dsyn,clinical
C2364300,Actual Adequate Hydration,fndg,clinical
C0546816,Persistence,menp,clinical
C0016284,Fluid Balance,orgf,biological
C0982255,LEUKOCYTES TEST,medd,clinical
C0026458,Monobactams,"antb,orch",biological
C1293116,Introduction procedure,topp,clinical
C0332140,Diagnosis  clinical,diap,clinical
C0412620,CT of abdomen,diap,clinical
C0238013,Invasive aspergillosis,dsyn,clinical
C0005507,Biological Assay,lbpr,clinical
C0001138,Acinetobacter,bact,pathogen
C0007559,Ceftazidime,"antb,orch",biological
C1258215,Ileus,dsyn,clinical
